net,length_um
bram.raddr\[0\],590.7µm
bram.raddr\[1\],575.05µm
bram.raddr\[2\],335.48µm
clknet_0_wclk,328.28µm
net8,229.48µm
_235_,224.4µm
net7,214.53µm
_245_,203.1µm
_248_,198.48µm
_250_,194.115µm
_251_,191.64µm
_242_,189.24µm
net3,188.09µm
_240_,187.28µm
_243_,186.66µm
net4,186.54µm
net9,180.68µm
net10,175.8µm
_239_,173.45µm
_204_,168.22µm
bram.waddr\[1\],164.9µm
net6,160.69µm
net5,159.52µm
bram.raddr\[3\],155.78µm
_249_,152.16µm
bram.waddr\[0\],151.415µm
_238_,151.31µm
net12,147.44µm
_237_,142.86µm
_247_,139.99µm
_246_,135.56µm
_137_,135.47µm
_236_,134.44µm
clknet_1_0__leaf_rclk,132.44µm
net2,132.28µm
_136_,130.84µm
wclk,118.51µm
net23,116.37µm
clknet_1_1__leaf_rclk,108.5µm
r_ptr_bin\[4\],87.135µm
clknet_4_1_0_wclk,83.44µm
clknet_4_8_0_wclk,78.94µm
clknet_4_11_0_wclk,78.48µm
clknet_4_10_0_wclk,76.3µm
sync_gwptr_to_rd.d1\[4\],75.8µm
clknet_4_4_0_wclk,75.235µm
clknet_4_0_0_wclk,75.16µm
bram.waddr\[2\],75.1µm
clknet_4_2_0_wclk,74.22µm
clknet_4_7_0_wclk,72.08µm
clknet_4_13_0_wclk,71.76µm
_170_,67.8µm
_002_,65.425µm
clknet_4_15_0_wclk,64.1µm
r_ptr_gray\[0\],61.835µm
_149_,61.24µm
clknet_4_5_0_wclk,60.54µm
_226_,59.14µm
net20,58.9µm
clknet_4_6_0_wclk,57.9µm
clknet_4_12_0_wclk,56.67µm
clknet_4_14_0_wclk,56.62µm
_219_,53.96µm
rclk,52.89µm
_212_,52.66µm
_163_,51.82µm
_156_,50.7µm
_233_,48.78µm
_189_,47.75µm
_006_,46.765µm
r_ptr_gray\[1\],46.4µm
_138_,46.21µm
r_ptr_gray\[2\],44.5µm
clknet_4_3_0_wclk,42.38µm
clknet_4_9_0_wclk,40.7µm
r_ptr_gray\[3\],37.3µm
_000_,34.325µm
_198_,31.78µm
_007_,29.74µm
_234_,27.42µm
_154_,27.32µm
_147_,26.74µm
_150_,26.58µm
_145_,26.22µm
_203_,24.46µm
bram.mem\[6\]\[6\],24.39µm
_241_,23.54µm
_004_,23.465µm
u_wrptr_handler.g_wptr_next\[0\],22.86µm
_205_,22.38µm
bram.mem\[6\]\[2\],22.265µm
sync_gwptr_to_rd.d1\[3\],22.12µm
bram.mem\[6\]\[4\],21.725µm
_157_,21.52µm
net19,21.28µm
bram.mem\[6\]\[7\],21.145µm
bram.mem\[12\]\[1\],21.08µm
_162_,20.2µm
sync_gwptr_to_rd.d1\[2\],19.9µm
_210_,19.58µm
bram.mem\[8\]\[2\],19.5µm
bram.mem\[7\]\[3\],19.18µm
_155_,19.12µm
_169_,19.08µm
bram.mem\[10\]\[4\],19.045µm
bram.mem\[5\]\[7\],18.74µm
bram.mem\[4\]\[6\],18.64µm
bram.mem\[6\]\[3\],18.385µm
_194_,18.38µm
bram.mem\[11\]\[6\],18.24µm
_208_,18.08µm
bram.mem\[11\]\[5\],18.08µm
bram.mem\[14\]\[2\],18.065µm
bram.mem\[4\]\[2\],17.82µm
bram.mem\[15\]\[2\],17.72µm
_059_,17.605µm
_182_,17.44µm
_232_,17.38µm
bram.mem\[1\]\[3\],17.26µm
bram.mem\[13\]\[3\],17.12µm
bram.mem\[10\]\[1\],17.05µm
bram.mem\[11\]\[4\],17.02µm
clknet_0_rclk,16.98µm
bram.mem\[9\]\[5\],16.9µm
_001_,16.045µm
_224_,16.02µm
bram.mem\[8\]\[3\],15.92µm
sync_gwptr_to_rd.q1\[1\],15.9µm
bram.mem\[2\]\[4\],15.75µm
bram.mem\[9\]\[1\],15.68µm
bram.mem\[1\]\[0\],15.66µm
bram.mem\[4\]\[0\],15.66µm
bram.mem\[12\]\[7\],15.54µm
bram.mem\[3\]\[5\],15.52µm
_003_,15.485µm
sync_gwptr_to_rd.d1\[1\],15.46µm
bram.mem\[4\]\[4\],15.38µm
rrst_n,15.15µm
bram.mem\[10\]\[0\],15.125µm
_215_,15.1µm
bram.mem\[6\]\[5\],14.97µm
_244_,14.94µm
bram.mem\[12\]\[2\],14.8µm
bram.mem\[13\]\[2\],14.72µm
