Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VGND,li1,122.8200,130.5600,0.000074
FILLER_43_249,VGND,li1,120.7500,130.5600,0.000074
FILLER_43_237,VGND,li1,117.3000,130.5600,0.000074
FILLER_43_225,VGND,li1,111.7800,130.5600,0.000074
FILLER_43_221,VGND,li1,107.8700,130.5600,0.000074
FILLER_43_209,VGND,li1,104.4200,130.5600,0.000074
FILLER_43_197,VGND,li1,98.9000,130.5600,0.000074
FILLER_43_195,VGND,li1,95.4500,130.5600,0.000074
FILLER_43_191,VGND,li1,94.3000,130.5600,0.000074
FILLER_43_181,VGND,li1,89.7000,130.5600,0.000074
FILLER_43_174,VGND,li1,86.4800,130.5600,0.000074
FILLER_43_169,VGND,li1,83.7200,130.5600,0.000074
FILLER_43_167,VGND,li1,82.5700,130.5600,0.000073
FILLER_43_160,VGND,li1,80.0400,130.5600,0.000072
FILLER_43_153,VGND,li1,76.8200,130.5600,0.000071
FILLER_43_146,VGND,li1,73.6000,130.5600,0.000069
FILLER_43_141,VGND,li1,70.8400,130.5600,0.000068
FILLER_43_137,VGND,li1,69.2300,130.5600,0.000068
FILLER_43_113,VGND,li1,57.9600,130.5600,0.000054
FILLER_43_109,VGND,li1,56.3500,130.5600,0.000054
FILLER_43_97,VGND,li1,52.9000,130.5600,0.000050
FILLER_43_85,VGND,li1,47.3800,130.5600,0.000042
FILLER_43_81,VGND,li1,43.4700,130.5600,0.000037
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000033
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000025
FILLER_43_53,VGND,li1,30.5900,130.5600,0.000020
FILLER_43_41,VGND,li1,27.1400,130.5600,0.000016
FILLER_43_29,VGND,li1,21.6200,130.5600,0.000013
FILLER_43_27,VGND,li1,18.1700,130.5600,0.000013
FILLER_43_15,VGND,li1,15.1800,130.5600,0.000013
FILLER_43_3,VGND,li1,9.6600,130.5600,0.000013
FILLER_42_253,VGND,li1,122.8200,125.1200,0.000353
FILLER_42_251,VGND,li1,121.2100,125.1200,0.000353
FILLER_42_245,VGND,li1,119.6000,125.1200,0.000353
FILLER_42_233,VGND,li1,115.4600,125.1200,0.000353
FILLER_42_221,VGND,li1,109.9400,125.1200,0.000353
FILLER_42_209,VGND,li1,104.4200,125.1200,0.000353
FILLER_42_197,VGND,li1,98.9000,125.1200,0.000351
FILLER_42_193,VGND,li1,94.9900,125.1200,0.000350
FILLER_42_185,VGND,li1,92.4600,125.1200,0.000349
FILLER_42_141,VGND,li1,73.1400,125.1200,0.000326
FILLER_42_123,VGND,li1,62.3300,125.1200,0.000297
FILLER_42_119,VGND,li1,61.1800,125.1200,0.000289
FILLER_42_107,VGND,li1,57.5000,125.1200,0.000277
FILLER_42_85,VGND,li1,46.0000,125.1200,0.000228
FILLER_42_82,VGND,li1,43.7000,125.1200,0.000215
FILLER_42_74,VGND,li1,41.4000,125.1200,0.000201
FILLER_42_63,VGND,li1,34.9600,125.1200,0.000161
FILLER_42_41,VGND,li1,25.7600,125.1200,0.000084
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000084
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000084
FILLER_42_15,VGND,li1,15.1800,125.1200,0.000084
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000084
FILLER_41_249,VGND,li1,121.9000,125.1200,0.000353
FILLER_41_237,VGND,li1,117.3000,125.1200,0.000353
FILLER_41_225,VGND,li1,111.7800,125.1200,0.000353
FILLER_41_218,VGND,li1,107.1800,125.1200,0.000353
FILLER_41_210,VGND,li1,102.3500,125.1200,0.000352
FILLER_41_205,VGND,li1,100.2800,125.1200,0.000352
FILLER_41_197,VGND,li1,97.9800,125.1200,0.000351
FILLER_41_185,VGND,li1,93.3800,125.1200,0.000349
FILLER_41_155,VGND,li1,77.7400,125.1200,0.000335
FILLER_41_143,VGND,li1,74.0600,125.1200,0.000326
FILLER_41_125,VGND,li1,63.4800,125.1200,0.000297
FILLER_41_113,VGND,li1,60.2600,125.1200,0.000289
FILLER_41_111,VGND,li1,56.8100,125.1200,0.000277
FILLER_41_84,VGND,li1,44.6200,125.1200,0.000215
FILLER_41_57,VGND,li1,32.2000,125.1200,0.000141
FILLER_41_55,VGND,li1,31.0500,125.1200,0.000124
FILLER_41_51,VGND,li1,29.9000,125.1200,0.000124
FILLER_41_39,VGND,li1,26.2200,125.1200,0.000084
FILLER_41_27,VGND,li1,20.7000,125.1200,0.000084
FILLER_41_15,VGND,li1,15.1800,125.1200,0.000084
FILLER_41_3,VGND,li1,9.6600,125.1200,0.000084
FILLER_40_253,VGND,li1,122.8200,119.6800,0.001010
FILLER_40_248,VGND,li1,120.5200,119.6800,0.001010
FILLER_40_201,VGND,li1,98.2100,119.6800,0.000972
FILLER_40_197,VGND,li1,97.0600,119.6800,0.000972
FILLER_40_192,VGND,li1,94.0700,119.6800,0.000948
FILLER_40_186,VGND,li1,92.4600,119.6800,0.000948
FILLER_40_174,VGND,li1,88.3200,119.6800,0.000922
FILLER_40_141,VGND,li1,73.1400,119.6800,0.000814
FILLER_40_137,VGND,li1,69.2300,119.6800,0.000779
FILLER_40_118,VGND,li1,60.4900,119.6800,0.000682
FILLER_40_85,VGND,li1,45.3100,119.6800,0.000498
FILLER_40_81,VGND,li1,43.4700,119.6800,0.000466
FILLER_40_59,VGND,li1,32.8900,119.6800,0.000304
FILLER_40_41,VGND,li1,24.8400,119.6800,0.000176
FILLER_40_29,VGND,li1,21.6200,119.6800,0.000176
FILLER_40_27,VGND,li1,18.1700,119.6800,0.000177
FILLER_40_21,VGND,li1,16.5600,119.6800,0.000177
FILLER_40_9,VGND,li1,12.4200,119.6800,0.000178
FILLER_39_249,VGND,li1,121.9000,119.6800,0.001010
FILLER_39_237,VGND,li1,117.3000,119.6800,0.001010
FILLER_39_225,VGND,li1,111.7800,119.6800,0.001007
FILLER_39_223,VGND,li1,108.3300,119.6800,0.001001
FILLER_39_219,VGND,li1,107.1800,119.6800,0.001001
FILLER_39_182,VGND,li1,89.4700,119.6800,0.000922
FILLER_39_178,VGND,li1,88.3200,119.6800,0.000922
FILLER_39_167,VGND,li1,82.5700,119.6800,0.000885
FILLER_39_122,VGND,li1,62.5600,119.6800,0.000714
FILLER_39_79,VGND,li1,42.0900,119.6800,0.000466
FILLER_39_57,VGND,li1,33.1200,119.6800,0.000304
FILLER_39_46,VGND,li1,26.9100,119.6800,0.000227
FILLER_39_34,VGND,li1,23.9200,119.6800,0.000176
FILLER_39_22,VGND,li1,18.4000,119.6800,0.000177
FILLER_39_11,VGND,li1,11.0400,119.6800,0.000178
FILLER_39_3,VGND,li1,8.7400,119.6800,0.000178
FILLER_38_253,VGND,li1,122.8200,114.2400,0.000920
FILLER_38_249,VGND,li1,120.7500,114.2400,0.000920
FILLER_38_241,VGND,li1,118.2200,114.2400,0.000920
FILLER_38_220,VGND,li1,106.9500,114.2400,0.000920
FILLER_38_208,VGND,li1,103.9600,114.2400,0.000920
FILLER_38_202,VGND,li1,99.1300,114.2400,0.000920
FILLER_38_150,VGND,li1,74.7500,114.2400,0.000797
FILLER_38_134,VGND,li1,68.5400,114.2400,0.000739
FILLER_38_122,VGND,li1,64.4000,114.2400,0.000698
FILLER_38_111,VGND,li1,57.9600,114.2400,0.000610
FILLER_38_99,VGND,li1,53.8200,114.2400,0.000569
FILLER_38_89,VGND,li1,46.6900,114.2400,0.000483
FILLER_38_85,VGND,li1,45.5400,114.2400,0.000483
FILLER_38_75,VGND,li1,40.7100,114.2400,0.000404
FILLER_38_63,VGND,li1,37.2600,114.2400,0.000366
FILLER_38_50,VGND,li1,29.4400,114.2400,0.000233
FILLER_38_38,VGND,li1,25.7600,114.2400,0.000185
FILLER_38_22,VGND,li1,17.0200,114.2400,0.000207
FILLER_38_3,VGND,li1,7.5900,114.2400,0.000217
FILLER_37_249,VGND,li1,121.9000,114.2400,0.000920
FILLER_37_237,VGND,li1,117.3000,114.2400,0.000920
FILLER_37_225,VGND,li1,111.7800,114.2400,0.000920
FILLER_37_223,VGND,li1,108.3300,114.2400,0.000920
FILLER_37_215,VGND,li1,106.2600,114.2400,0.000920
FILLER_37_203,VGND,li1,101.6600,114.2400,0.000920
FILLER_37_194,VGND,li1,95.2200,114.2400,0.000918
FILLER_37_169,VGND,li1,83.7200,114.2400,0.000874
FILLER_37_160,VGND,li1,79.8100,114.2400,0.000833
FILLER_37_148,VGND,li1,76.3600,114.2400,0.000797
FILLER_37_136,VGND,li1,70.8400,114.2400,0.000761
FILLER_37_109,VGND,li1,56.3500,114.2400,0.000610
FILLER_37_97,VGND,li1,52.9000,114.2400,0.000569
FILLER_37_77,VGND,li1,41.1700,114.2400,0.000404
FILLER_37_69,VGND,li1,37.9500,114.2400,0.000366
FILLER_37_57,VGND,li1,34.5000,114.2400,0.000326
FILLER_37_54,VGND,li1,30.8200,114.2400,0.000271
FILLER_37_7,VGND,li1,8.9700,114.2400,0.000217
FILLER_37_3,VGND,li1,7.8200,114.2400,0.000217
FILLER_36_253,VGND,li1,122.8200,108.8000,0.001328
FILLER_36_246,VGND,li1,120.0600,108.8000,0.001328
FILLER_36_200,VGND,li1,98.9000,108.8000,0.001298
FILLER_36_195,VGND,li1,95.4500,108.8000,0.001290
FILLER_36_182,VGND,li1,89.4700,108.8000,0.001250
FILLER_36_176,VGND,li1,87.8600,108.8000,0.001250
FILLER_36_165,VGND,li1,82.3400,108.8000,0.001204
FILLER_36_153,VGND,li1,76.1300,108.8000,0.001147
FILLER_36_147,VGND,li1,74.5200,108.8000,0.001147
FILLER_36_136,VGND,li1,69.0000,108.8000,0.001083
