Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VPWR,li1,122.8200,127.8400,1.799689
FILLER_43_249,VPWR,li1,120.7500,127.8400,1.799689
FILLER_43_237,VPWR,li1,117.3000,127.8400,1.799689
FILLER_43_225,VPWR,li1,111.7800,127.8400,1.799689
FILLER_43_221,VPWR,li1,107.8700,127.8400,1.799689
FILLER_43_209,VPWR,li1,104.4200,127.8400,1.799689
FILLER_43_197,VPWR,li1,98.9000,127.8400,1.799689
FILLER_43_195,VPWR,li1,95.4500,127.8400,1.799689
FILLER_43_191,VPWR,li1,94.3000,127.8400,1.799689
FILLER_43_181,VPWR,li1,89.7000,127.8400,1.799689
FILLER_43_174,VPWR,li1,86.4800,127.8400,1.799689
FILLER_43_169,VPWR,li1,83.7200,127.8400,1.799692
FILLER_43_167,VPWR,li1,82.5700,127.8400,1.799694
FILLER_43_160,VPWR,li1,80.0400,127.8400,1.799698
FILLER_43_153,VPWR,li1,76.8200,127.8400,1.799705
FILLER_43_146,VPWR,li1,73.6000,127.8400,1.799713
FILLER_43_141,VPWR,li1,70.8400,127.8400,1.799719
FILLER_43_137,VPWR,li1,69.2300,127.8400,1.799719
FILLER_43_113,VPWR,li1,57.9600,127.8400,1.799762
FILLER_43_109,VPWR,li1,56.3500,127.8400,1.799762
FILLER_43_97,VPWR,li1,52.9000,127.8400,1.799775
FILLER_43_85,VPWR,li1,47.3800,127.8400,1.799807
FILLER_43_81,VPWR,li1,43.4700,127.8400,1.799819
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.799836
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799864
FILLER_43_53,VPWR,li1,30.5900,127.8400,1.799884
FILLER_43_41,VPWR,li1,27.1400,127.8400,1.799913
FILLER_43_29,VPWR,li1,21.6200,127.8400,1.799939
FILLER_43_27,VPWR,li1,18.1700,127.8400,1.799939
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.799939
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.799939
FILLER_42_253,VPWR,li1,122.8200,127.8400,1.799689
FILLER_42_251,VPWR,li1,121.2100,127.8400,1.799689
FILLER_42_245,VPWR,li1,119.6000,127.8400,1.799689
FILLER_42_233,VPWR,li1,115.4600,127.8400,1.799689
FILLER_42_221,VPWR,li1,109.9400,127.8400,1.799689
FILLER_42_209,VPWR,li1,104.4200,127.8400,1.799689
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.799689
FILLER_42_193,VPWR,li1,94.9900,127.8400,1.799689
FILLER_42_185,VPWR,li1,92.4600,127.8400,1.799689
FILLER_42_141,VPWR,li1,73.1400,127.8400,1.799713
FILLER_42_123,VPWR,li1,62.3300,127.8400,1.799739
FILLER_42_119,VPWR,li1,61.1800,127.8400,1.799749
FILLER_42_107,VPWR,li1,57.5000,127.8400,1.799762
FILLER_42_85,VPWR,li1,46.0000,127.8400,1.799807
FILLER_42_82,VPWR,li1,43.7000,127.8400,1.799819
FILLER_42_74,VPWR,li1,41.4000,127.8400,1.799836
FILLER_42_63,VPWR,li1,34.9600,127.8400,1.799864
FILLER_42_41,VPWR,li1,25.7600,127.8400,1.799913
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.799939
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799939
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.799939
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.799939
FILLER_41_249,VPWR,li1,121.9000,122.4000,1.799326
FILLER_41_237,VPWR,li1,117.3000,122.4000,1.799326
FILLER_41_225,VPWR,li1,111.7800,122.4000,1.799330
FILLER_41_218,VPWR,li1,107.1800,122.4000,1.799336
FILLER_41_210,VPWR,li1,102.3500,122.4000,1.799342
FILLER_41_205,VPWR,li1,100.2800,122.4000,1.799349
FILLER_41_197,VPWR,li1,97.9800,122.4000,1.799360
FILLER_41_185,VPWR,li1,93.3800,122.4000,1.799377
FILLER_41_155,VPWR,li1,77.7400,122.4000,1.799437
FILLER_41_143,VPWR,li1,74.0600,122.4000,1.799457
FILLER_41_125,VPWR,li1,63.4800,122.4000,1.799505
FILLER_41_113,VPWR,li1,60.2600,122.4000,1.799524
FILLER_41_111,VPWR,li1,56.8100,122.4000,1.799545
FILLER_41_84,VPWR,li1,44.6200,122.4000,1.799637
FILLER_41_57,VPWR,li1,32.2000,122.4000,1.799763
FILLER_41_55,VPWR,li1,31.0500,122.4000,1.799763
FILLER_41_51,VPWR,li1,29.9000,122.4000,1.799785
FILLER_41_39,VPWR,li1,26.2200,122.4000,1.799834
FILLER_41_27,VPWR,li1,20.7000,122.4000,1.799883
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799883
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799883
FILLER_40_253,VPWR,li1,122.8200,122.4000,1.799326
FILLER_40_248,VPWR,li1,120.5200,122.4000,1.799326
FILLER_40_201,VPWR,li1,98.2100,122.4000,1.799360
FILLER_40_197,VPWR,li1,97.0600,122.4000,1.799360
FILLER_40_192,VPWR,li1,94.0700,122.4000,1.799377
FILLER_40_186,VPWR,li1,92.4600,122.4000,1.799377
FILLER_40_174,VPWR,li1,88.3200,122.4000,1.799396
FILLER_40_141,VPWR,li1,73.1400,122.4000,1.799457
FILLER_40_137,VPWR,li1,69.2300,122.4000,1.799483
FILLER_40_118,VPWR,li1,60.4900,122.4000,1.799524
FILLER_40_85,VPWR,li1,45.3100,122.4000,1.799637
FILLER_40_81,VPWR,li1,43.4700,122.4000,1.799656
FILLER_40_59,VPWR,li1,32.8900,122.4000,1.799743
FILLER_40_41,VPWR,li1,24.8400,122.4000,1.799834
FILLER_40_29,VPWR,li1,21.6200,122.4000,1.799883
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799883
FILLER_40_21,VPWR,li1,16.5600,122.4000,1.799883
FILLER_40_9,VPWR,li1,12.4200,122.4000,1.799883
FILLER_39_249,VPWR,li1,121.9000,116.9600,1.798935
FILLER_39_237,VPWR,li1,117.3000,116.9600,1.798935
FILLER_39_225,VPWR,li1,111.7800,116.9600,1.798935
FILLER_39_223,VPWR,li1,108.3300,116.9600,1.798935
FILLER_39_219,VPWR,li1,107.1800,116.9600,1.798935
FILLER_39_182,VPWR,li1,89.4700,116.9600,1.798973
FILLER_39_178,VPWR,li1,88.3200,116.9600,1.798973
FILLER_39_167,VPWR,li1,82.5700,116.9600,1.799017
FILLER_39_122,VPWR,li1,62.5600,116.9600,1.799219
FILLER_39_79,VPWR,li1,42.0900,116.9600,1.799505
FILLER_39_57,VPWR,li1,33.1200,116.9600,1.799648
FILLER_39_46,VPWR,li1,26.9100,116.9600,1.799741
FILLER_39_34,VPWR,li1,23.9200,116.9600,1.799772
FILLER_39_22,VPWR,li1,18.4000,116.9600,1.799816
FILLER_39_11,VPWR,li1,11.0400,116.9600,1.799809
FILLER_39_3,VPWR,li1,8.7400,116.9600,1.799809
FILLER_38_253,VPWR,li1,122.8200,116.9600,1.798935
FILLER_38_249,VPWR,li1,120.7500,116.9600,1.798935
FILLER_38_241,VPWR,li1,118.2200,116.9600,1.798935
FILLER_38_220,VPWR,li1,106.9500,116.9600,1.798935
FILLER_38_208,VPWR,li1,103.9600,116.9600,1.798935
FILLER_38_202,VPWR,li1,99.1300,116.9600,1.798938
FILLER_38_150,VPWR,li1,74.7500,116.9600,1.799088
FILLER_38_134,VPWR,li1,68.5400,116.9600,1.799165
FILLER_38_122,VPWR,li1,64.4000,116.9600,1.799198
FILLER_38_111,VPWR,li1,57.9600,116.9600,1.799282
FILLER_38_99,VPWR,li1,53.8200,116.9600,1.799330
FILLER_38_89,VPWR,li1,46.6900,116.9600,1.799434
FILLER_38_85,VPWR,li1,45.5400,116.9600,1.799434
FILLER_38_75,VPWR,li1,40.7100,116.9600,1.799505
FILLER_38_63,VPWR,li1,37.2600,116.9600,1.799556
FILLER_38_50,VPWR,li1,29.4400,116.9600,1.799685
FILLER_38_38,VPWR,li1,25.7600,116.9600,1.799741
FILLER_38_22,VPWR,li1,17.0200,116.9600,1.799816
FILLER_38_3,VPWR,li1,7.5900,116.9600,1.799809
FILLER_37_249,VPWR,li1,121.9000,111.5200,1.798758
FILLER_37_237,VPWR,li1,117.3000,111.5200,1.798758
FILLER_37_225,VPWR,li1,111.7800,111.5200,1.798760
FILLER_37_223,VPWR,li1,108.3300,111.5200,1.798762
FILLER_37_215,VPWR,li1,106.2600,111.5200,1.798764
FILLER_37_203,VPWR,li1,101.6600,111.5200,1.798770
FILLER_37_194,VPWR,li1,95.2200,111.5200,1.798784
FILLER_37_169,VPWR,li1,83.7200,111.5200,1.798826
FILLER_37_160,VPWR,li1,79.8100,111.5200,1.798861
FILLER_37_148,VPWR,li1,76.3600,111.5200,1.798887
FILLER_37_136,VPWR,li1,70.8400,111.5200,1.798943
FILLER_37_109,VPWR,li1,56.3500,111.5200,1.799135
FILLER_37_97,VPWR,li1,52.9000,111.5200,1.799187
FILLER_37_77,VPWR,li1,41.1700,111.5200,1.799397
FILLER_37_69,VPWR,li1,37.9500,111.5200,1.799461
FILLER_37_57,VPWR,li1,34.5000,111.5200,1.799497
FILLER_37_54,VPWR,li1,30.8200,111.5200,1.799573
FILLER_37_7,VPWR,li1,8.9700,111.5200,1.799743
FILLER_37_3,VPWR,li1,7.8200,111.5200,1.799743
FILLER_36_253,VPWR,li1,122.8200,111.5200,1.798758
FILLER_36_246,VPWR,li1,120.0600,111.5200,1.798758
FILLER_36_200,VPWR,li1,98.9000,111.5200,1.798776
FILLER_36_195,VPWR,li1,95.4500,111.5200,1.798780
FILLER_36_182,VPWR,li1,89.4700,111.5200,1.798800
FILLER_36_176,VPWR,li1,87.8600,111.5200,1.798800
FILLER_36_165,VPWR,li1,82.3400,111.5200,1.798841
